# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-04-23 12:06:22 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04119400 GRAND RIVER NEAR EASTMANVILLE, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04119400
#    DD parameter   Description
#    04   00055     Stream velocity, feet per second
#    06   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	04_00055	04_00055_cd	06_00010	06_00010_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	04119400	2015-07-15 00:00	EST	1.05	A	23.3	A
USGS	04119400	2015-07-15 00:12	EST	1.06	A	23.3	A
USGS	04119400	2015-07-15 00:24	EST	1.08	A	23.2	A
USGS	04119400	2015-07-15 00:36	EST	1.04	A	23.2	A
USGS	04119400	2015-07-15 00:48	EST	1.08	A	23.2	A
USGS	04119400	2015-07-15 01:00	EST	1.02	A	23.1	A
USGS	04119400	2015-07-15 01:12	EST	1.09	A	23.1	A
USGS	04119400	2015-07-15 01:24	EST	1.10	A	23.1	A
USGS	04119400	2015-07-15 01:36	EST	1.10	A	23.1	A
USGS	04119400	2015-07-15 01:48	EST	1.15	A	23.0	A
USGS	04119400	2015-07-15 02:00	EST	1.08	A	23.0	A
USGS	04119400	2015-07-15 02:12	EST	1.07	A	23.0	A
USGS	04119400	2015-07-15 02:24	EST	1.08	A	23.0	A
USGS	04119400	2015-07-15 02:36	EST	1.16	A	22.9	A
USGS	04119400	2015-07-15 02:48	EST	1.09	A	22.9	A
USGS	04119400	2015-07-15 03:00	EST	1.12	A	22.9	A
USGS	04119400	2015-07-15 03:12	EST	1.05	A	22.8	A
USGS	04119400	2015-07-15 03:24	EST	1.06	A	22.8	A
USGS	04119400	2015-07-15 03:36	EST	1.10	A	22.8	A
USGS	04119400	2015-07-15 03:48	EST	1.14	A	22.8	A
USGS	04119400	2015-07-15 04:00	EST	1.09	A	22.7	A
USGS	04119400	2015-07-15 04:12	EST	1.15	A	22.7	A
USGS	04119400	2015-07-15 04:24	EST	1.11	A	22.7	A
USGS	04119400	2015-07-15 04:36	EST	1.11	A	22.7	A
USGS	04119400	2015-07-15 04:48	EST	1.09	A	22.6	A
USGS	04119400	2015-07-15 05:00	EST	1.12	A	22.6	A
USGS	04119400	2015-07-15 05:12	EST	1.06	A	22.6	A
USGS	04119400	2015-07-15 05:24	EST	1.05	A	22.6	A
USGS	04119400	2015-07-15 05:36	EST	1.10	A	22.6	A
USGS	04119400	2015-07-15 05:48	EST	1.08	A	22.6	A
USGS	04119400	2015-07-15 06:00	EST	1.06	A	22.5	A
USGS	04119400	2015-07-15 06:12	EST	1.04	A	22.5	A
USGS	04119400	2015-07-15 06:24	EST	1.10	A	22.5	A
USGS	04119400	2015-07-15 06:36	EST	1.07	A	22.5	A
USGS	04119400	2015-07-15 06:48	EST	1.01	A	22.5	A
USGS	04119400	2015-07-15 07:00	EST	1.03	A	22.5	A
USGS	04119400	2015-07-15 07:12	EST	1.09	A	22.5	A
USGS	04119400	2015-07-15 07:24	EST	1.05	A	22.5	A
USGS	04119400	2015-07-15 07:36	EST	1.11	A	22.5	A
USGS	04119400	2015-07-15 07:48	EST	1.10	A	22.6	A
USGS	04119400	2015-07-15 08:00	EST	1.14	A	22.6	A
USGS	04119400	2015-07-15 08:12	EST	1.09	A	22.6	A
USGS	04119400	2015-07-15 08:24	EST	1.10	A	22.6	A
USGS	04119400	2015-07-15 08:36	EST	1.11	A	22.6	A
USGS	04119400	2015-07-15 08:48	EST	1.12	A	22.7	A
USGS	04119400	2015-07-15 09:00	EST	1.02	A	22.7	A
USGS	04119400	2015-07-15 09:12	EST	1.04	A		
USGS	04119400	2015-07-15 09:24	EST	1.07	A		
USGS	04119400	2015-07-15 09:36	EST	1.09	A		
USGS	04119400	2015-07-15 09:45	EST	1.11	A		
USGS	04119400	2015-07-15 09:46	EST	1.17	A		
USGS	04119400	2015-07-15 09:47	EST	1.07	A		
USGS	04119400	2015-07-15 09:48	EST	1.11	A		
USGS	04119400	2015-07-15 09:49	EST	1.12	A		
USGS	04119400	2015-07-15 09:50	EST	1.03	A		
USGS	04119400	2015-07-15 09:51	EST	1.10	A		
USGS	04119400	2015-07-15 09:52	EST	1.14	A		
USGS	04119400	2015-07-15 09:53	EST	1.01	A		
USGS	04119400	2015-07-15 09:54	EST	1.08	A		
USGS	04119400	2015-07-15 09:55	EST	1.06	A		
USGS	04119400	2015-07-15 09:56	EST	1.20	A		
USGS	04119400	2015-07-15 09:57	EST	1.10	A		
USGS	04119400	2015-07-15 09:58	EST	1.10	A		
USGS	04119400	2015-07-15 09:59	EST	1.22	A		
USGS	04119400	2015-07-15 10:00	EST	1.12	A		
USGS	04119400	2015-07-15 10:01	EST	1.02	A		
USGS	04119400	2015-07-15 10:02	EST	1.06	A		
USGS	04119400	2015-07-15 10:03	EST	1.06	A		
USGS	04119400	2015-07-15 10:04	EST	1.19	A		
USGS	04119400	2015-07-15 10:05	EST	1.16	A		
USGS	04119400	2015-07-15 10:06	EST	1.03	A		
USGS	04119400	2015-07-15 10:07	EST	1.26	A		
USGS	04119400	2015-07-15 10:08	EST	1.14	A		
USGS	04119400	2015-07-15 10:09	EST	1.20	A		
USGS	04119400	2015-07-15 10:10	EST	1.07	A		
USGS	04119400	2015-07-15 10:11	EST	1.00	A		
USGS	04119400	2015-07-15 10:12	EST	1.11	A	22.9	A
USGS	04119400	2015-07-15 10:13	EST	1.14	A		
USGS	04119400	2015-07-15 10:14	EST	1.13	A		
USGS	04119400	2015-07-15 10:15	EST	1.09	A		
USGS	04119400	2015-07-15 10:16	EST	1.13	A		
