# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-04-23 14:59:31 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04119400 GRAND RIVER NEAR EASTMANVILLE, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04119400
#    DD parameter   Description
#    04   00055     Stream velocity, feet per second
#    06   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     P  Provisional data subject to revision.  
# 
agency_cd	site_no	datetime	tz_cd	04_00055	04_00055_cd	06_00010	06_00010_cd
5s	15s	20d	6s	14n	10s	14n	10s
USGS	04119400	2016-04-08 00:00	EST	1.68	P	5.7	P
USGS	04119400	2016-04-08 00:12	EST	1.66	P	5.8	P
USGS	04119400	2016-04-08 00:24	EST	1.64	P	5.9	P
USGS	04119400	2016-04-08 00:36	EST	1.66	P	5.8	P
USGS	04119400	2016-04-08 00:48	EST	1.65	P	5.8	P
USGS	04119400	2016-04-08 01:00	EST	1.64	P	5.8	P
USGS	04119400	2016-04-08 01:12	EST	1.64	P	5.7	P
USGS	04119400	2016-04-08 01:24	EST	1.63	P	5.7	P
USGS	04119400	2016-04-08 01:36	EST	1.64	P	5.7	P
USGS	04119400	2016-04-08 01:48	EST	1.67	P	5.7	P
USGS	04119400	2016-04-08 02:00	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 02:12	EST	1.67	P	5.9	P
USGS	04119400	2016-04-08 02:24	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 02:36	EST	1.64	P	5.8	P
USGS	04119400	2016-04-08 02:48	EST	1.64	P	5.7	P
USGS	04119400	2016-04-08 03:00	EST	1.62	P	5.6	P
USGS	04119400	2016-04-08 03:12	EST	1.65	P	5.8	P
USGS	04119400	2016-04-08 03:24	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 03:36	EST	1.62	P	5.8	P
USGS	04119400	2016-04-08 03:48	EST	1.63	P	5.7	P
USGS	04119400	2016-04-08 04:00	EST	1.65	P	5.5	P
USGS	04119400	2016-04-08 04:12	EST	1.64	P	5.7	P
USGS	04119400	2016-04-08 04:24	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 04:36	EST	1.62	P	5.6	P
USGS	04119400	2016-04-08 04:48	EST	1.62	P	5.6	P
USGS	04119400	2016-04-08 05:00	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 05:12	EST	1.62	P	5.7	P
USGS	04119400	2016-04-08 05:24	EST	1.61	P	5.6	P
USGS	04119400	2016-04-08 05:36	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 05:48	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 06:00	EST	1.65	P	5.5	P
USGS	04119400	2016-04-08 06:12	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 06:24	EST	1.64	P	5.6	P
USGS	04119400	2016-04-08 06:36	EST	1.60	P	5.6	P
USGS	04119400	2016-04-08 06:48	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 07:00	EST	1.65	P	5.6	P
USGS	04119400	2016-04-08 07:12	EST	1.62	P	5.6	P
USGS	04119400	2016-04-08 07:24	EST	1.62	P	5.6	P
USGS	04119400	2016-04-08 07:36	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 07:48	EST	1.63	P	5.5	P
USGS	04119400	2016-04-08 08:00	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 08:12	EST	1.64	P	5.5	P
USGS	04119400	2016-04-08 08:24	EST	1.63	P	5.5	P
USGS	04119400	2016-04-08 08:36	EST	1.64	P	5.5	P
USGS	04119400	2016-04-08 08:48	EST	1.61	P	5.4	P
USGS	04119400	2016-04-08 09:00	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 09:12	EST	1.64	P	5.5	P
USGS	04119400	2016-04-08 09:24	EST	1.62	P	5.5	P
USGS	04119400	2016-04-08 09:36	EST	1.61	P	5.5	P
USGS	04119400	2016-04-08 09:48	EST	1.64	P	5.5	P
USGS	04119400	2016-04-08 10:00	EST	1.64	P	5.5	P
