# ---------------------------------- WARNING ----------------------------------------
# The data you have obtained from this automated U.S. Geological Survey database
# have not received Director's approval and as such are provisional and subject to
# revision.  The data are released on the condition that neither the USGS nor the
# United States Government may be held liable for any damages resulting from its use.
# Additional info: http://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2016-04-23 12:29:32 EDT       (nadww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04095090 PORTAGE-BURNS WATERWAY AT PORTAGE, IN
# -----------------------------------------------------------------------------------
#
# Data provided for site 04095090
#    DD parameter   Description
#    01   00055     Stream velocity, feet per second
#    30   00010     Temperature, water, degrees Celsius
#
# Data-value qualification codes included in this output: 
#     A  Approved for publication -- Processing and review completed.  
# 
agency_cd	site_no	datetime	tz_cd	30_00010	30_00010_cd
5s	15s	20d	6s	14n	10s
USGS	04095090	2011-07-15 00:00	EST	23.6	A
USGS	04095090	2011-07-15 00:15	EST	23.6	A
USGS	04095090	2011-07-15 00:30	EST	23.6	A
USGS	04095090	2011-07-15 00:45	EST	23.6	A
USGS	04095090	2011-07-15 01:00	EST	23.5	A
USGS	04095090	2011-07-15 01:15	EST	23.5	A
USGS	04095090	2011-07-15 01:30	EST	23.5	A
USGS	04095090	2011-07-15 01:45	EST	23.4	A
USGS	04095090	2011-07-15 02:00	EST	23.4	A
USGS	04095090	2011-07-15 02:15	EST	23.3	A
USGS	04095090	2011-07-15 02:30	EST	23.2	A
USGS	04095090	2011-07-15 02:45	EST	23.2	A
USGS	04095090	2011-07-15 03:00	EST	23.2	A
USGS	04095090	2011-07-15 03:15	EST	23.2	A
USGS	04095090	2011-07-15 03:30	EST	23.2	A
USGS	04095090	2011-07-15 03:45	EST	23.2	A
USGS	04095090	2011-07-15 04:00	EST	23.3	A
USGS	04095090	2011-07-15 04:15	EST	23.3	A
USGS	04095090	2011-07-15 04:30	EST	23.3	A
USGS	04095090	2011-07-15 04:45	EST	23.2	A
USGS	04095090	2011-07-15 05:00	EST	23.2	A
USGS	04095090	2011-07-15 05:15	EST	23.2	A
USGS	04095090	2011-07-15 05:30	EST	23.2	A
USGS	04095090	2011-07-15 05:45	EST	23.1	A
USGS	04095090	2011-07-15 06:00	EST	23.1	A
USGS	04095090	2011-07-15 06:15	EST	23.1	A
USGS	04095090	2011-07-15 06:30	EST	23.1	A
USGS	04095090	2011-07-15 06:45	EST	23.1	A
USGS	04095090	2011-07-15 07:00	EST	23.0	A
USGS	04095090	2011-07-15 07:15	EST	23.1	A
USGS	04095090	2011-07-15 07:30	EST	23.1	A
USGS	04095090	2011-07-15 07:45	EST	23.1	A
USGS	04095090	2011-07-15 08:00	EST	23.1	A
USGS	04095090	2011-07-15 08:15	EST	23.1	A
USGS	04095090	2011-07-15 08:30	EST	23.1	A
USGS	04095090	2011-07-15 08:45	EST	23.1	A
USGS	04095090	2011-07-15 09:00	EST	23.1	A
USGS	04095090	2011-07-15 09:15	EST	23.1	A
USGS	04095090	2011-07-15 09:30	EST	23.1	A
USGS	04095090	2011-07-15 09:45	EST	23.2	A
USGS	04095090	2011-07-15 10:00	EST	23.1	A
USGS	04095090	2011-07-15 10:15	EST	23.1	A
USGS	04095090	2011-07-15 10:30	EST	23.1	A
USGS	04095090	2011-07-15 10:45	EST	23.6	A
USGS	04095090	2011-07-15 11:00	EST	23.2	A
USGS	04095090	2011-07-15 11:15	EST	23.2	A
USGS	04095090	2011-07-15 11:30	EST	23.1	A
USGS	04095090	2011-07-15 11:45	EST	23.2	A
USGS	04095090	2011-07-15 12:00	EST	23.4	A
USGS	04095090	2011-07-15 12:15	EST	23.3	A
USGS	04095090	2011-07-15 12:30	EST	23.4	A
USGS	04095090	2011-07-15 12:45	EST	23.4	A
USGS	04095090	2011-07-15 13:00	EST	23.4	A
USGS	04095090	2011-07-15 13:15	EST	23.4	A
USGS	04095090	2011-07-15 13:30	EST	23.4	A
USGS	04095090	2011-07-15 13:45	EST	23.4	A
USGS	04095090	2011-07-15 14:00	EST	23.4	A
USGS	04095090	2011-07-15 14:15	EST	23.4	A
USGS	04095090	2011-07-15 14:30	EST	23.4	A
USGS	04095090	2011-07-15 14:45	EST	23.5	A
USGS	04095090	2011-07-15 15:00	EST	23.5	A
USGS	04095090	2011-07-15 15:15	EST	23.5	A
USGS	04095090	2011-07-15 15:30	EST	23.6	A
USGS	04095090	2011-07-15 15:45	EST	23.7	A
USGS	04095090	2011-07-15 16:00	EST	23.8	A
USGS	04095090	2011-07-15 16:15	EST	23.8	A
USGS	04095090	2011-07-15 16:30	EST	23.9	A
USGS	04095090	2011-07-15 16:45	EST	23.9	A
USGS	04095090	2011-07-15 17:00	EST	24.0	A
USGS	04095090	2011-07-15 17:15	EST	24.0	A
USGS	04095090	2011-07-15 17:30	EST	24.0	A
